id,text_kz,text_ru,category,urgency,region,status,reply_text,duplicate
50,"Учаскелік дәрігерге бір ай бұрын жазылу керек. Жедел жағдай болса, қалай қаралуға болады?","К участковому врачу нужно записываться за месяц. А как попасть на прием, если случай срочный?",медицина,средняя,Северо-Казахстанская область,новая,При острых состояниях вы можете обратиться в фильтр-кабинет вашей поликлиники без предварительной записи.,False
51,Көп қабатты үйдің шатырынан су ағып жатыр. Пәтерімізді су алып кетті. КСК ештеңе істемейді.,Крыша многоэтажного дома протекает. Нашу квартиру затопило. КСК ничего не делает.,ЖКХ,высокая,Астана,в процессе,Создана комиссия для оценки ущерба и выдачи предписания управляющей компании о незамедлительном ремонте кровли.,True
52,"Жол полициясы қызметкерлері тек қымбат көліктерді тоқтатпай, арзан көліктерді жиі тоқтатады. Бұл әділетсіздік.","Сотрудники дорожной полиции останавливают в основном недорогие машины, а дорогие не трогают. Это несправедливо.",полиция,низкая,Алматы,новая,Работа патрульной полиции нацелена на обеспечение безопасности всех участников дорожного движения вне зависимости от марки автомобиля.,False
53,Мектептегі ағылшын тілі сабағының сапасы өте төмен. Балам қосымша репетиторға баруға мәжбүр.,Качество уроков английского языка в школе очень низкое. Мой ребенок вынужден ходить к репетитору.,образование,низкая,Астана,в процессе,Информация будет доведена до сведения руководства школы для усиления контроля за качеством преподавания.,False
54,Аула ішіндегі жолдарға жасанды кедергілерді (лежачий полицейский) орнатып беруіңізді сұраймыз. Көліктер қатты жүреді.,Просим установить искусственные неровности (лежачие полицейские) на внутридворовых дорогах. Машины ездят очень быстро.,дороги,средняя,Карагандинская область,решена,Установка искусственных неровностей по вашему адресу будет произведена после согласования с жильцами и дорожной полицией.,False
55,Дәріханада тегін дәрі-дәрмектердің орнына қымбат аналогтарын ұсынады. Бұл заңды ма?,В аптеке вместо бесплатных лекарств предлагают дорогие аналоги. Законно ли это?,медицина,средняя,Шымкент,новая,"Фармацевт обязан в первую очередь предложить препараты, выписанные по рецепту. По факту навязывания аналогов будет проведена проверка.",False
56,Зауыт мұржасынан шыққан қара түтін қаланы басып қалды. Терезе ашу мүмкін емес.,Черный дым из трубы завода накрыл город. Невозможно открыть окна.,экология,высокая,Темиртау,в процессе,На предприятие направлена внеплановая экологическая проверка для выяснения причин сверхнормативных выбросов.,True
57,Жәрдемақыны рәсімдеу үшін өте көп анықтама сұрайды. Олардың көбісін электронды базадан алуға болады ғой.,Для оформления пособия требуют очень много справок. Большинство из них ведь можно получить из электронных баз.,соцподдержка,низкая,Туркестанская область,в процессе,Ведется работа по сокращению перечня требуемых документов и оптимизации процесса оказания госуслуг. Ваше замечание учтено.,False
58,"4G интернетінің сапасы нашарлап кетті, жиі 3G-ге ауысып кетеді.","Качество интернета 4G ухудшилось, часто переключается на 3G.",интернет,низкая,Актюбинская область,новая,Ваше обращение будет передано оператору сотовой связи для проверки качества покрытия в вашем районе.,True
59,Автобустар кешкі сағат 9-дан кейін жүрмей қалады. Жұмыстан қайту қиын.,Автобусы перестают ходить после 9 часов вечера. Сложно добираться с работы.,общественный транспорт,средняя,Уральск,решена,С перевозчиками проведена работа по соблюдению графика движения в вечернее время. Работа маршрутов продлена до 22:00.,False
60,Тендерді ұтып алған компанияның жұмысы сапасыз. Жолды жөндегеннен кейін бірден бұзылды.,"Компания, выигравшая тендер, работает некачественно. Дорога разрушилась сразу после ремонта.",коррупция,средняя,Атырауская область,в процессе,Будет назначена экспертиза качества выполненных работ. В случае выявления нарушений подрядчик будет обязан устранить их за свой счет.,False
61,Лифт бірнеше аптадан бері істемейді. Қарт адамдарға жоғары қабатқа көтерілу қиын.,Лифт не работает уже несколько недель. Пожилым людям трудно подниматься на верхние этажи.,ЖКХ,высокая,Алматы,решена,Обслуживающей компании направлено предписание о срочном ремонте лифтового оборудования. Лифт запущен в работу.,False
62,"Алаяқтар телефон соғып, өздерін полиция қызметкері ретінде таныстырып, ақша талап етеді. Осыған шара қолдану керек.","Звонят мошенники, представляются сотрудниками полиции и требуют деньги. Нужно принять меры.",полиция,средняя,Астана,новая,Ни в коем случае не переводите деньги. Это мошенники. По всем подобным фактам обращайтесь с заявлением в полицию.,False
63,Колледжде оқулықтар жетіспейді. Студенттер материалдарды өздері іздеуге мәжбүр.,В колледже не хватает учебников. Студенты вынуждены искать материалы самостоятельно.,образование,низкая,Павлодарская область,в процессе,Администрации колледжа поручено решить вопрос обеспечения студентов необходимой учебной литературой.,False
64,Орталық көшедегі жарықтандыру өте нашар. Кешкісін жүру қауіпті.,Очень плохое освещение на центральной улице. Вечером ходить опасно.,дороги,средняя,Кызылорда,решена,Работы по замене ламп и ремонту сетей уличного освещения на данной улице выполнены.,False
65,МРТ аппаратына кезек өте ұзын. Тегін кезек бірнеше айға созылады.,Очередь на аппарат МРТ очень длинная. Бесплатную очередь нужно ждать несколько месяцев.,медицина,средняя,Карагандинская область,новая,"Вопрос увеличения доступности высокотехнологичных медицинских услуг, включая МРТ, находится на рассмотрении управления здравоохранения.",True
